date,lambda_t,lambda_w,E_Rw,mean_K,whale_threshold
2024-11-17,0.0001727259312847704,1.927539176269988e-06,0.17350323987000693,3.125,1.231748216129993
2024-11-18,0.000177514245893487,1.928981833234891e-06,0.17299167133000237,3.125,1.2322597846699976
2024-11-19,0.00018136534619941593,1.928408230137781e-06,0.1739051865799892,3.125,1.2313462694200108
2024-11-20,0.0001834321377773306,1.927613487280257e-06,0.17375902413999267,3.125,1.2314924318600073
2024-11-21,0.0001864660524578609,1.927945727556591e-06,0.17434367390001193,3.125,1.230907782099988
2024-11-22,0.0001888389415276576,1.9288508639515903e-06,0.1737224835299851,3.125,1.231528972470015
2024-11-23,0.00019359610049315878,1.928510873330006e-06,0.17321091499001384,3.125,1.2320405410099862
2024-11-24,0.00019634686271538385,1.9280193264657284e-06,0.1733570774300104,3.125,1.2318943785699896
2024-11-25,0.00019748555143242553,1.92869908089774e-06,0.10359359732998645,3.125,1.1945663966700135
2024-11-26,0.00019941201919946805,1.9285093856694782e-06,0.10380922310999767,3.125,1.1943507708900023
2024-11-27,0.00020084562775631991,1.9285078980112455e-06,0.10402484889000889,3.125,1.194135145109991
2024-11-28,0.00020046484084065806,1.9259591950877257e-06,0.10409672414999087,3.125,1.194063269850009
2024-11-29,0.00019745530982073566,1.9285688938808823e-06,0.1052467283099963,3.125,1.1929132656900037
2024-11-30,0.00019257980730009116,1.9288121718849392e-06,0.10639673247000174,3.125,1.1917632615299982
2024-12-01,0.00018028119090546493,1.9287042887440047e-06,0.0483665040800028,3.125,0.6508271519199972
2024-12-02,0.0001779635322917414,1.9283026231857566e-06,0.048176109710002454,3.125,0.6510175462899975
2024-12-03,0.00017922808291340425,1.928344269616468e-06,0.04787994068999983,3.125,0.6513137153100002
2024-12-04,0.00017770930944316807,1.9303208231814546e-06,0.047626081530005845,3.125,0.6515675744699941
2024-12-05,0.00017690302382517792,1.928071369489813e-06,1.5602810251399917,3.125,0.6735822448600082
2024-12-06,0.00017457480552911722,1.9282416441576594e-06,1.5603671233000092,3.125,0.6734961466999906
2024-12-07,0.00016995195580298938,1.9291917188287954e-06,1.560388647839994,3.125,0.6734746221600059
2024-12-08,0.00016572384744601766,1.9272865616860827e-06,1.5606469423200076,3.125,0.6732163276799924
2024-12-09,0.0001646942413271582,1.9286053444739865e-06,1.5606684668599924,3.125,0.6731948031400076
2024-12-10,0.00016475671730733775,1.928531700818392e-06,1.560625417780003,3.125,0.6732378522199968
2024-12-11,0.00016333096761986026,1.9288129159485054e-06,1.5602379760600027,3.125,0.6736252939399974
2024-12-12,0.00015963235991152814,1.9283316267598436e-06,1.5600657797400068,3.125,0.6737974902599932
2024-12-13,0.00015844548383214964,1.9284632693314943e-06,1.5606038932399988,3.125,0.6732593767600011
2024-12-14,0.00015528128820732547,1.9279345766969004e-06,1.560625417780003,3.125,0.6732378522199968
2024-12-15,0.00015280030953890877,1.9287355364122124e-06,1.5614218257600085,3.125,0.6724414442399911
2024-12-16,0.00015162686816274964,1.9287705052414337e-06,1.5613142030600067,3.125,0.6725490669399934
2024-12-17,0.00014612305949537402,1.928762320933706e-06,1.6601156810999993,3.125,0.41602523890000087
2024-12-18,0.00014043191110831905,1.9270488672614052e-06,1.6711359192899966,3.125,0.38064151671000346
2024-12-19,0.00013674424682832547,1.9289490892466877e-06,1.67128944159,3.125,0.38048799441000014
2024-12-20,0.0001345051641889828,1.9284588065771243e-06,1.6712126804399983,3.125,0.3805647555600018
2024-12-21,0.0001313587299903367,1.9295721598241466e-06,1.6711205670599933,3.125,0.3806568689400066
2024-12-22,0.0001281421974940113,1.929345812856543e-06,1.67142761166,3.125,0.3803498243399999
2024-12-23,0.0001232418392939833,1.927827535006456e-06,1.7252447687499999,3.125,0.3130540672500001
2024-12-24,0.00012022861410692348,1.928703544764245e-06,1.7250594077500043,3.125,0.31323942824999573
2024-12-25,0.00011696354450023526,1.928253542201757e-06,1.696824338959999,3.125,0.3023271430400005
2024-12-26,0.000113675410794025,1.928565174510077e-06,1.7013135812000069,3.125,0.29783790079999306
2024-12-27,0.00010900396108410762,1.928056499767669e-06,1.7096185562300044,3.125,0.2830176557699955
2024-12-28,0.00010358321769335638,1.929348046284288e-06,1.7109793679200027,3.125,0.2816568440799972
2024-12-29,9.989448914291975e-05,1.9291530130862167e-06,1.711009391439995,3.125,0.2816268205600047
2024-12-30,9.823036366062661e-05,1.9284156676830705e-06,1.7078597559399984,3.125,0.28477645606000185
2024-12-31,9.706097755962785e-05,1.928330883067558e-06,1.6435148926499967,3.125,0.27727675135000346
2025-01-01,9.523455811407274e-05,1.9289505775856715e-06,1.6222538942600018,3.125,0.2658318297399982
2025-01-02,9.317773912090515e-05,1.929413562465343e-06,1.622222487779999,3.125,0.265863236220001
2025-01-03,9.149019817242401e-05,1.927334850531328e-06,1.8129155405600001,3.125,0.27044670143999977
2025-01-04,8.515239111986203e-05,1.9295922655767302e-06,0.21355097131999862,3.125,0.25421107668000137
